nr,id,ed1,ed2,prod1,prod2,ET,PT,active,reverse,Tafel,alkaline,acidic,dG,dG_lit,dG_min,dG_max,dG_given,A,E_act,beta,tafelA,tafelK,tafelE,tafelDE,acidA,acidK,acidE,acidDE,acidB,acidDB,alkaA,alkaK,alkaE,alkaDE,alkaB,alkaDB
1,A98B,,,*H,,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,0.11,0.11,0.01,0.21,TRUE,6.21E+12,1.5,0.8,,,,,,1,,0,,0,,1,1.54,0,0.5,0
2,A95A,H2O,,*H2O,,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,0.06,0.06,-0.14,0.26,TRUE,6.21E+12,0.6,,,,,,,,,,,,,,,,,
3,water,H2O,,H+,OH-,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.83,0.83,0.78,0.88,TRUE,,,,,,,,,,,,,,,,,,,
4,HER,H+,H+,H2,,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,TRUE,,,,,,,,,,,,,,,,,,,
5,O93A,*H2O,,*H,OH-,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,1.06,1.06,0.86,1.26,FALSE,6.21E+12,0.68,0.42,,,,,,,,,,,,,,,,
6,A98B(h),H2O,,*H,OH-,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,0,1,FALSE,,,,,,,,,,,,,,,,,,,
7,HD96A(h),*H,H2O,H2,OH-,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,-0.5,1.5,FALSE,,,,,,,,,,,,,,,,,,,
8,HD96A,*H,,H2,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.11,-0.11,-0.21,-0.01,FALSE,6.21E+12,1.8,1,,1000,0.8,0,,1,,0,,0,,1,1.53,0,0.8,0
9,HD96A(t),*H,*H,H2,,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.22,-0.22,-0.42,-0.02,FALSE,,,,,,,,,,,,,,,,,,,
10,AH01A,CO2,,*COOH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.59,0.59,0.49,0.69,TRUE,6.21E+12,0.92,0.44,,1000,,0,,1,,0,,0,,1,,0,,0
11,A13A,CO,,*CO,,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,-0.25,-0.5,-0.75,-0.25,TRUE,6.21E+12,0.2,,,1000,,0,,1,,0,,0,,1,,0,,0
12,H02A,*COOH,,*CO,H2O,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.55,-0.55,-0.75,-0.35,FALSE,6.21E+12,0.5,0.52,,1000,,0,,1,,0,,0,,1,,0,,0
13,R02A,*COOH,,*CO,OH-,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.12,-0.12,-1.12,0.88,FALSE,,,,,,,,,,,,,,,,,,,
14,A01A,CO2,,*CO2-,,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,0.32,0.32,0.1,1.1,TRUE,6.21E+12,0.43,0.5,,,,,,,,,,,,,,,,
15,H06A,*CO2-,,*COOH,,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,0.27,0.27,-0.5,0.5,FALSE,6.21E+12,0.37,0.5,,,,,,1,,0,,0,,1,,0,,0
18,A01B,CO2,,*CO2,,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,0.33,0.33,0.13,0.53,TRUE,6.21E+12,0.43,,,,,,,,,,,,,,,,,
19,AH01B,CO2,,*OCHO,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.05,-0.05,-0.25,0.15,TRUE,6.21E+12,1,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
20,H82B,*CO2,,*OCHO,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,,-1,1,FALSE,6.21E+12,0.8,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
21,form.ac.,HCOOH,,HCOO-,H+,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.22,0.22,0.11,0.31,FALSE,,,,,,,,,,,,,,,,,,,
22,HD07A,*OCHO,,HCOOH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,,0,1,FALSE,6.21E+12,1.5,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
23,RD07A,*OCHO,,HCOO-,,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,0.2,1.2,FALSE,,,,,,,,,,,,,,,,,,,
24,H03B,*CO,,*COH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.74,0.74,0.64,0.84,TRUE,6.21E+12,0.916,0.46,,1000,,0,,1,,0,,0,,1,,0,,0
25,H05A,*COH,,*C,H2O,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.16,-0.16,-0.36,0.04,TRUE,6.21E+12,1.002,0.46,,1000,,0,,1,,0,,0,,1,,0,,0
26,H33A,*C,,*CH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.4,-0.36,-0.56,-0.16,TRUE,6.21E+12,0.835,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
27,H34A,*CH,,*CH2,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.08,0.08,-0.12,0.28,TRUE,6.21E+12,0.655,0.49,,1000,,0,,1,,0,,0,,1,,0,,0
