nr,id,ed1,ed2,prod1,prod2,ET,PT,active,reverse,Tafel,alkaline,acidic,dG,dG_lit,dG_min,dG_max,dG_given,A,E_act,beta,tafelA,tafelK,tafelE,tafelDE,acidA,acidK,acidE,acidDE,acidB,acidDB,alkaA,alkaK,alkaE,alkaDE,alkaB,alkaDB
1,A98B,,,*H,,1,1,True,True,False,True,True,0.11,0.11,0.01,0.21,True,6210000000000.0,1.5,0.8,,,,,,1.0,,0.0,,0.0,,1.0,1.54,0.0,0.5,0.0
2,A95A,H2O,,*H2O,,0,0,True,True,False,False,False,0.06000000000000005,0.06,-0.14,0.26,True,6210000000000.0,0.6,,,,,,,,,,,,,,,,,
3,water,H2O,,H+,OH-,0,0,False,False,False,False,False,0.8300000000000001,0.83,0.78,0.88,True,,,,,,,,,,,,,,,,,,,
4,HER,H+,H+,H2,,2,0,False,False,False,False,False,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,
5,O93A,*H2O,,*H,OH-,1,0,True,True,False,False,False,0.8800000000000001,1.06,0.86,1.26,False,6210000000000.0,0.68,0.42,,,,,,,,,,,,,,,,
6,A98B(h),H2O,,*H,OH-,1,0,False,False,False,False,False,0.9400000000000002,,0.0,1.0,False,,,,,,,,,,,,,,,,,,,
7,HD96A(h),*H,H2O,H2,OH-,1,0,False,False,False,False,False,0.72,,-0.5,1.5,False,,,,,,,,,,,,,,,,,,,
8,HD96A,*H,,H2,,1,1,True,True,True,True,True,-0.10999999999999999,-0.11,-0.21,-0.01,False,6210000000000.0,1.8,1.0,,1000.0,0.8,0.0,,1.0,,0.0,,0.0,,1.0,1.53,0.0,0.8,0.0
9,HD96A(t),*H,*H,H2,,1,0,False,False,False,False,False,-0.22,-0.22,-0.42,-0.02,False,,,,,,,,,,,,,,,,,,,
10,AH01A,CO2,,*COOH,,1,1,True,True,True,True,True,0.5899999999999999,0.59,0.49,0.69,True,6210000000000.0,0.92,0.44,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
11,A13A,CO,,*CO,,0,0,True,True,True,True,True,-0.25,-0.5,-0.75,-0.25,True,6210000000000.0,0.2,,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
12,H02A,*COOH,,*CO,H2O,1,1,True,True,True,True,True,-0.5980000000000008,-0.55,-0.75,-0.35,False,6210000000000.0,0.5,0.52,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
13,R02A,*COOH,,*CO,OH-,1,0,False,False,False,False,False,0.23199999999999976,-0.12,-1.12,0.88,False,,,,,,,,,,,,,,,,,,,
14,A01A,CO2,,*CO2-,,1,0,True,True,False,False,False,0.31999999999999984,0.32,0.1,1.1,True,6210000000000.0,0.43,0.5,,,,,,,,,,,,,,,,
15,H06A,*CO2-,,*COOH,,0,1,True,True,False,True,True,0.27,0.27,-0.5,0.5,False,6210000000000.0,0.37,0.5,,,,,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
18,A01B,CO2,,*CO2,,0,0,True,True,False,False,False,0.3299999999999996,0.33,0.13,0.53,True,6210000000000.0,0.43,,,,,,,,,,,,,,,,,
