t [s],U [V],i(e-),FE(H2),FE(CO),FE(HCOOH),FE(CH2O),FE(C2H4),FE(CH3CH2OH),FE(CH4),FE(CH3OH),FE(CH3COOH),x(*H),x(*H2O),x(*COOH),x(*CO),x(*CO2-),x(*CO2),x(*OCHO),x(*COH),x(*C),x(*CH),x(*CH2),x(*CH3),x(*CHO),x(**CH2O),x(*CHOH),x(**CH2OH),x(*CH2OH),x(*OCH3),x(*O),x(**OCCO),x(**(CO)2),x(**COHCO),x(*CCO),x(**COCOH),x(*CHCO),x(***CH2CO),x(**OCHCH2),x(**CH2OCH2),x(**CHCH2O),x(**CHOHCH2O),x(**COHCH2O),x(*COHCH2O),x(**COCH2O),x(**COCHOH),x(*COCHO),x(**COCHO),x(**OCHCH),x(**CHOCHOH),x(**CHOCH2OH),x(*OCHCH2),x(**CHOCHO),x(**OHCH2CH2),x(*OH),x(**CHOHCH2),x(*CH2CH2OH),x(**OHCHCH2),x(**CHCH2),x(*),d(i_rel)/dt,sum(FE),t_SS,d(FE(H2))/dt,d(FE(CO))/dt,d(FE(HCOOH))/dt,d(FE(CH2O))/dt,d(FE(C2H4))/dt,d(FE(CH3CH2OH))/dt,d(FE(CH4))/dt,d(FE(CH3OH))/dt,d(FE(CH3COOH))/dt,FE(*H),FE(*H2O),FE(*COOH),FE(*CO),FE(*CO2-),FE(*CO2),FE(*OCHO),FE(*COH),FE(*C),FE(*CH),FE(*CH2),FE(*CH3),FE(*CHO),FE(**CH2O),FE(*CHOH),FE(**CH2OH),FE(*CH2OH),FE(*OCH3),FE(*O),FE(**OCCO),FE(**(CO)2),FE(**COHCO),FE(*CCO),FE(**COCOH),FE(*CHCO),FE(***CH2CO),FE(**OCHCH2),FE(**CH2OCH2),FE(**CHCH2O),FE(**CHOHCH2O),FE(**COHCH2O),FE(*COHCH2O),FE(**COCH2O),FE(**COCHOH),FE(*COCHO),FE(**COCHO),FE(**OCHCH),FE(**CHOCHOH),FE(**CHOCH2OH),FE(*OCHCH2),FE(**CHOCHO),FE(**OHCH2CH2),FE(*OH),FE(**CHOHCH2),FE(*CH2CH2OH),FE(**OHCHCH2),FE(**CHCH2),FE(*),
0,-1,97423.88606758445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999999,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.952731267815768e-08,0,0.6306384243690227,0,0,0,0.2895412541842191,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,
1,-1,0.194098253814106,0.1712542116504282,0.05883748962644769,0.09284121514879232,1.319574939776006e-10,3.245777054558005e-13,2.03346639379594e-07,0.677063797504893,3.217953159360007e-06,2.989281135570014e-24,5.034237870652525e-05,3.163293489098847e-11,7.791913755602936e-16,4.970877742007137e-10,2.192591343186126e-20,4.121489351364757e-16,0.9999492955692075,8.904372393182189e-11,5.101960755491495e-16,1.40082929525973e-14,5.470256307165481e-14,1.816864641231733e-12,9.507605705133928e-09,1.156282691641553e-19,1.984191250216072e-13,8.899934642054686e-27,7.197072462783594e-17,9.181730552094285e-13,7.697251270330663e-42,1.84652408520546e-41,4.804077815912149e-32,3.660805986929707e-44,3.400120573214758e-20,2.183697013878522e-36,1.130359196339254e-13,2.601017750194731e-48,5.063695582231638e-23,2.497532357954706e-22,2.381122903729998e-33,1.317115161950005e-31,2.381122903729863e-33,4.927140631130544e-39,3.667462073714458e-33,4.374621797807888e-30,1.88626186763358e-16,1.359647167431754e-35,8.237636580883262e-33,6.439149759752154e-25,3.561807651637614e-23,3.209080241238182e-08,3.717303971771333e-18,1.935317158748481e-24,9.94757923231134e-32,4.468811089141185e-22,2.234405544570606e-22,1.356955443643342e-18,1.563940659748458e-29,3.198327960710046e-07,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.952731267815768e-08,0,0.6306384243690227,0,0,0,0.2895412541842191,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,
11.2,-1,0.1940982259620324,0.1712542139206487,0.05883749040884006,0.09284122963814972,1.319574785517306e-10,1.975006992230277e-13,1.237333935774045e-07,0.6770638065081591,3.217952783179575e-06,2.98794258648621e-24,5.034237215002037e-05,3.163293077244965e-11,7.791912741112843e-16,4.970877094812759e-10,2.192591057715538e-20,4.121488814756822e-16,0.9999493081398358,8.90437123385781e-11,5.101960091230476e-16,1.400829112875675e-14,5.470255594953415e-14,1.816864404681041e-12,9.507604467270263e-09,1.156282390551328e-19,1.984190991879922e-13,8.899932324556261e-27,7.197070584093805e-17,9.181728161215453e-13,4.683662371440762e-42,1.84652360438095e-41,4.804076544855421e-32,3.660805033676372e-44,3.40013145999328e-20,2.183696436118776e-36,1.130362815632584e-13,2.574750017030646e-48,3.081182707112296e-23,1.519711110911223e-22,2.380056196562841e-33,1.316525114212044e-31,2.380056196562759e-33,4.924933634929957e-39,3.665819105990444e-33,4.372662033187902e-30,1.885417096228575e-16,1.359038065998952e-35,8.213093919437766e-33,6.439148083033622e-25,3.561806724162853e-23,1.952677381051982e-08,3.717303003806201e-18,1.177611565239445e-24,6.052953283213245e-32,2.719204426770044e-22,1.359602213385031e-22,8.256869860894934e-19,9.516343781365349e-30,3.198327544294756e-07,-3.558068438409246e-10,1.000000134051954,-1,5.688094439904035e-12,1.960225731734155e-12,3.592445924072152e-11,-3.815899454004991e-20,-3.147624272674874e-16,-1.97197425677703e-10,2.255706732512408e-11,-9.305581038533944e-16,-2.625074614562801e-30,-8.744760785248522e-12,-0,1.124548822688055e-17,-5.307609624732752e-12,-0,-0,1.676563431607086e-08,-1.885393888777147e-17,-3.137112476367053e-21,-6.424806351599726e-17,1.541953524383934e-16,-2.698418667671885e-16,7.956766812514067e-12,3.921390595458817e-22,-1.026554859028244e-16,1.196713438555547e-24,-1.252821260355975e-22,-1.594045277054011e-18,6.530427191440396e-38,3.321547033406777e-43,2.524880797241936e-34,-1.020549856580109e-43,6.930437729772224e-25,-2.55864826485113e-34,2.687941473085394e-18,0,-1.189835564722206e-22,-6.520676492243186e-22,-3.009220849815735e-34,-4.370851057662781e-34,0,-1.785663685159484e-39,1.337431488806993e-34,-5.951570125191119e-33,-4.482303836356407e-19,-5.125811381953339e-37,-7.132967940303964e-34,2.094248517472207e-26,3.789300198846586e-26,-1.508114929585017e-07,-3.913252944076638e-24,-5.561725705686904e-24,-6.202227076718364e-31,-1.102891104972792e-21,-1.347978017188968e-21,-3.54280381182038e-18,-4.820745052775031e-29,-0,
21.2,-1,0.1940982092909081,0.1712542152769071,0.05883749087625448,0.09284123831103101,1.319574693144185e-10,1.214227002709771e-13,7.607082573920383e-08,0.6770638118868616,3.217952557915387e-06,2.98663078765764e-24,5.034236822479638e-05,3.163292830677828e-11,7.791912133761715e-16,4.970876707352858e-10,2.192590886811078e-20,4.121488493502398e-16,0.9999493156655732,8.904370539797843e-11,5.10195969355318e-16,1.400829003686673e-14,5.470255168568964e-14,1.816864263063757e-12,9.507603726190683e-09,1.15628221029578e-19,1.984190837220205e-13,8.899930937125131e-27,7.197069459367105e-17,9.181726729853219e-13,0,1.846523316522764e-41,4.804075776237411e-32,3.660804462986296e-44,3.400142133304947e-20,2.183696086742907e-36,1.130366363958639e-13,2.559027250130744e-48,1.894299396812477e-23,9.343127847283262e-23,2.379010990808985e-33,1.315946959954001e-31,2.379010990808934e-33,4.922771014551359e-39,3.664209255253823e-33,4.370741771169847e-30,1.884589258979684e-16,1.358441242107642e-35,8.198400811702899e-33,6.439147079222159e-25,3.561806168905795e-23,1.200498711814518e-08,3.717302424308525e-18,7.239912460648063e-25,3.721333348993196e-32,1.671756527077197e-22,8.358782635386045e-23,5.076291951586658e-19,5.8506116918065e-30,3.198327294996812e-07,-1.399366473795346e-08,1.000000082294129,11.2,2.213339539425263e-10,7.627901157936101e-11,1.413011281592436e-09,-1.504428005313645e-18,-1.239293819600979e-14,-7.764127154541246e-09,8.777695459372126e-10,-3.668748510486631e-14,-1.312298337658949e-28,-5.368397302621392e-12,0,2.785216158484958e-17,8.618493438333012e-13,0,0,1.029211955546661e-08,-5.104239750655499e-18,-6.274225830728234e-21,-1.927442175199714e-16,7.709768700798853e-17,0,-1.295662310024956e-12,0,3.292696559879921e-17,2.393427212039274e-25,-7.690812843713621e-23,-9.788772643722121e-19,2.050789193950381e-31,-6.643094996425996e-43,-4.346730217205951e-34,-4.201410479382561e-43,6.930203825193375e-25,-7.855579940431275e-34,2.687941155639273e-18,0,-7.303484996422708e-23,-4.002932217535309e-22,0,-2.521434429887941e-34,0,2.976106558398847e-40,6.687158379813489e-35,-6.28592887702468e-33,-4.480321651294945e-19,-1.126668911393849e-38,-1.426593787693544e-33,2.094248810534365e-26,-1.317111274050791e-26,-9.258044637869165e-08,-2.387443644009175e-24,-3.411802442786844e-24,-3.000226694605722e-31,-4.442200905544893e-22,-7.919371959195548e-22,-2.174862595699447e-18,-1.606915242458009e-29,-0,
31.2,-1,0.1940981990531756,0.171254216112695,0.05883749116429334,0.09284124363689347,1.319574636462718e-10,7.471979273651844e-14,4.681163741959432e-08,0.6770638152014277,3.217952419690066e-06,2.985319519451639e-24,5.034236581517289e-05,3.163292679314759e-11,7.791911760919937e-16,4.970876469498309e-10,2.192590781895946e-20,4.121488296290164e-16,0.9999493202854876,8.90437011372712e-11,5.101959449426358e-16,1.400828936657542e-14,5.470254906819351e-14,1.8168641761275e-12,9.507603271255484e-09,1.156282099640199e-19,1.984190742277434e-13,8.899930085406568e-27,7.197068768917835e-17,9.18172585116615e-13,1.77195483510534e-42,1.846523139811902e-41,4.804075296797323e-32,3.660804112650122e-44,3.400152806616228e-20,2.183695868813073e-36,1.130369912284242e-13,2.549378401727081e-48,1.165693300837539e-23,5.749473901499272e-23,2.377966318998707e-33,1.31536910104617e-31,2.377966318998675e-33,4.920609432246628e-39,3.662600226909629e-33,4.368822490117768e-30,1.883761787882901e-16,1.357844723103854e-35,8.189380979869988e-33,6.439146463000707e-25,3.56180582804367e-23,7.387498373848201e-09,3.717302068565523e-18,4.455219753172804e-25,2.289994241600419e-32,1.028747295833062e-22,5.143736479165346e-23,3.123792971005088e-19,3.600285376264249e-30,3.198327141957349e-07,-8.589014221260611e-09,1.000000050506517,11.2,1.356258411133737e-10,4.67414426608137e-11,8.672881288140921e-10,-9.237312093565666e-19,-7.607799895205067e-15,-4.766256783820065e-09,5.378702483405107e-10,-2.252641881689732e-14,-1.311798828569885e-28,-3.295369278179769e-12,0,5.933939658530992e-17,-2.419428423031742e-11,0,0,6.318146111617576e-09,-2.255360289091276e-17,0,-1.284961560498674e-16,7.70976936299204e-17,5.396838554094429e-16,3.629060531138937e-11,7.842782962028036e-22,6.999238865026798e-17,1.914741934088876e-24,-4.721359352635239e-23,-5.994827226600205e-19,-5.143732824806377e-23,1.660773891750605e-42,2.241081600357877e-33,-6.79453873410206e-43,6.928719678551614e-25,1.000326365089195e-33,2.68794095662856e-18,1.979796757400757e-49,-4.485766296924674e-23,-2.457348758447841e-22,1.103381227438796e-33,-1.12177286603853e-33,4.681011267922167e-34,-3.868938858222209e-39,2.006147686252357e-34,-5.951571469215325e-33,-4.478340318941446e-19,-1.533651614980446e-36,0,1.047124495204854e-25,4.118914436254335e-26,-5.68334634576805e-08,-1.489908567462907e-24,-2.095674762601839e-24,2.571866806505086e-23,-1.194798966871459e-21,-4.886421415794812e-22,-1.335108647965902e-18,4.017288451190498e-29,-0,
41.2,-1,0.194098192772101,0.1712542166225205,0.05883749133999829,0.09284124690458212,1.319574601641941e-10,4.604972170686752e-14,2.884995041762714e-08,0.6770638172233263,3.217952334774954e-06,2.984008800649242e-24,5.03423643359489e-05,3.163292586395711e-11,7.791911532039121e-16,4.970876323483695e-10,2.192590717490446e-20,4.121488175225144e-16,0.9999493231215693,8.904369852169989e-11,5.101959299561309e-16,1.400828895509567e-14,5.470254746135987e-14,1.816864122758899e-12,9.507602991978971e-09,1.156282031710739e-19,1.984190683993779e-13,8.899929562551949e-27,7.197068345063547e-17,9.181725311756054e-13,1.092053946989933e-42,1.846523031332295e-41,4.804074994881489e-32,3.660803897585072e-44,3.400163479927256e-20,2.183695731577014e-36,1.130373460609562e-13,2.54345822027177e-48,7.184152223669035e-24,3.543394867827677e-23,2.376922153186639e-33,1.314791522030617e-31,2.376922153186619e-33,4.918448855996466e-39,3.660991977915813e-33,4.366904138690285e-30,1.882934682756707e-16,1.357248493030517e-35,8.183843868565711e-33,6.439146084713488e-25,3.561805618794566e-23,4.552905493265394e-09,3.717301850181321e-18,2.745747363827552e-25,1.411321102079595e-32,6.340155814285547e-23,3.170077907142795e-23,1.925189230148058e-19,2.218850831722482e-30,3.198327048009193e-07,-5.27451156426933e-09,1.000000031011399,11.2,8.35787938857635e-11,2.880388566550707e-11,5.325862459382158e-10,-5.668146683461801e-19,-4.670290753445863e-15,-2.925918831960952e-09,3.314566066059399e-10,-1.382253212172009e-14,-1.3112682060008e-28,-2.022666357665344e-12,0,4.892644738323068e-17,-2.134886647679759e-12,0,-0,3.878595857711575e-09,-3.189867657770134e-17,6.274226700557242e-21,0,0,0,3.200963229071645e-12,-3.921391687848276e-22,-5.220034013931119e-17,0,-2.898316218360705e-23,-3.681206446967593e-19,8.096278952731655e-33,3.321547958696641e-43,-1.104309761183959e-34,-2.785079235372841e-43,6.931769388651696e-25,-3.395497839553716e-34,2.687940829795691e-18,7.919187447301485e-50,-2.75369842940765e-23,-1.508499781481713e-22,-5.015369480167135e-34,2.0336610506974e-34,-4.681011514822661e-34,1.785664182595314e-39,5.349727445511611e-34,-6.285929748476143e-33,-4.476359848297733e-19,2.553606070645977e-37,0,0,-6.515760316548858e-26,-3.488903720069679e-08,-9.33436742102556e-25,-1.286046585135388e-24,1.724832496245968e-30,-6.663302282085938e-22,-3.032951383570151e-22,-8.19599017754827e-19,-4.017288663082853e-30,-0,
51.2,-1,0.1940981889098401,0.1712542169411598,0.05883749144980731,0.09284124891362937,1.319574580309764e-10,2.844968269852465e-14,1.782359504327379e-08,0.677063818486938,3.21795228275359e-06,2.982698642943574e-24,5.034236342787999e-05,3.163292529354389e-11,7.79191139153333e-16,4.970876233847961e-10,2.192590677953076e-20,4.121488100905521e-16,0.9999493248625887,8.9043696916048e-11,5.101959207561867e-16,1.40082887024957e-14,5.470254647495374e-14,1.81686408999688e-12,9.507602820536177e-09,1.156281990010075e-19,1.984190648214498e-13,8.899929241580969e-27,7.197068084867095e-17,9.181724980621973e-13,6.746750883595862e-43,1.846522964738628e-41,4.804074801947963e-32,3.660803765560531e-44,3.400174153238112e-20,2.183695643878941e-36,1.130377008934702e-13,2.539826999384787e-48,4.438392993742846e-24,2.189122846962628e-23,2.375878476146306e-33,1.314214213378535e-31,2.375878476146293e-33,4.916289265990214e-39,3.659384481739781e-33,4.364986685238812e-30,1.882107943427225e-16,1.356652542051144e-35,8.1804447360791e-33,6.439145852489815e-25,3.561805490340331e-23,2.812800107254622e-09,3.717301716119214e-18,1.696333180565689e-25,8.719195529164904e-33,3.916969209932581e-23,1.958484604966303e-23,1.189388071341661e-19,1.370813149175099e-30,3.198326990336121e-07,-3.236029320864281e-09,1.000000019024716,11.2,5.098255151381181e-11,1.757049436501568e-11,3.267688647445865e-10,-3.482077715563963e-19,-2.867007102965092e-15,-1.796168700196717e-09,2.021898648507658e-10,-8.491511183103344e-15,-1.310718802397209e-28,-1.24175666750487e-12,-0,-2.5003860339218e-17,-2.655532626004196e-11,0,-0,2.381000006281165e-09,1.753882110392272e-17,3.137113451796532e-21,0,-1.541954003827031e-16,8.994731688991018e-17,3.983187401094281e-11,-3.921391814745665e-22,1.482782713484151e-17,-7.180282863914183e-25,-1.779218845503731e-23,-2.269505512784078e-19,-0,0,4.732144842729228e-34,-1.75604819651555e-43,6.930574868996179e-25,-4.2072858911512e-34,2.68794074799186e-18,-1.583837540713744e-49,-1.68973093964102e-23,-9.260426235979087e-23,0,-1.070394533250898e-34,-5.461180277351831e-34,-5.952214134599775e-40,4.012295713972774e-34,-6.219058356657799e-33,-4.474380244420805e-19,1.684689179167972e-38,0,-2.094249168641637e-26,-2.089743984689734e-26,-2.141775045275255e-08,-6.462254577522764e-25,-7.893169020650453e-25,-1.446673360044501e-31,-1.608383361516777e-22,-1.727097371533491e-22,-5.031370198516809e-19,-8.034577586166992e-30,-0,
61.2,-1,0.1940981865419493,0.1712542171340476,0.0588374915162832,0.09284125014547337,1.319574567193378e-10,1.764533611095028e-14,1.105471430735266e-08,0.6770638192518998,3.217952250767534e-06,2.981389053109283e-24,5.034236287043273e-05,3.163292494337753e-11,7.791911305279364e-16,4.970876178822218e-10,2.192590653681799e-20,4.121488055282046e-16,0.9999493259313693,8.904369593036753e-11,5.101959151085082e-16,1.400828854742918e-14,5.470254586941698e-14,1.816864069884874e-12,9.507602715290567e-09,1.156281964410793e-19,1.984190626250249e-13,8.899929044542708e-27,7.197067925137203e-17,9.181724777344757e-13,4.184537412567561e-43,1.84652292385799e-41,4.804074675920079e-32,3.660803684513072e-44,3.400184826548847e-20,2.183695586592876e-36,1.130380557259728e-13,2.53760092976203e-48,2.752820968482932e-24,1.357759699657098e-23,2.374835277228488e-33,1.313637169199326e-31,2.37483527722848e-33,4.914130649908684e-39,3.65777772197937e-33,4.363070110198544e-30,1.881281569725313e-16,1.356056864084925e-35,8.17835807000619e-33,6.439145709931928e-25,3.561805411484614e-23,1.744580791790194e-09,3.717301633820927e-18,1.052116756699554e-25,5.407906787577571e-33,2.429418696484341e-23,1.214709348242178e-23,7.376930225120159e-20,8.502181244961441e-31,3.198326954931665e-07,-1.989848961019793e-09,1.000000011699398,11.2,3.186393093823625e-11,1.098090229856297e-11,2.009047248008322e-10,-2.133217736074228e-19,-1.760003900834287e-15,-1.102635537435335e-09,1.263611659751973e-10,-5.202136363010884e-15,-1.31015770566752e-28,-7.622475363365991e-13,0,-2.088584484002051e-17,2.463508003081025e-11,0,-0,1.461652968251074e-09,-4.345633561261752e-17,0,6.424808477123282e-17,7.709770172547938e-17,0,-3.695268187725221e-11,-7.842783785550882e-22,-4.526237832809183e-17,0,-1.092231322393379e-23,-1.387192382069336e-19,-0,-6.643096264553402e-43,-1.055222488733393e-33,2.414969206937539e-43,6.930950001418771e-25,4.093545537866659e-34,2.687940693485289e-18,3.959593930574299e-50,-1.037403423458847e-23,-5.684823120075486e-23,0,-3.34673981620729e-34,7.80168626574439e-35,-8.928321379559772e-40,-2.0061478969057e-34,-6.219058480407671e-33,-4.472401510665926e-19,1.084153310375115e-38,3.566485150054578e-34,0,1.649923936292505e-26,-1.3147970725686e-08,-3.590141503395484e-25,-4.845171763973744e-25,-3.879068069241198e-31,-1.282877230546653e-22,-1.074170337815929e-22,-3.088667310707831e-19,-6.025933309532215e-30,-0,
71.2,-1,0.1940981850895004,0.1712542172514389,0.05883749155674067,0.09284125090112696,1.319574559133599e-10,1.101274274571507e-14,6.899420597182356e-09,0.677063819717458,3.217952231112683e-06,2.980080035380095e-24,5.034236252822635e-05,3.163292472841673e-11,7.791911252329607e-16,4.970876145042884e-10,2.192590638782099e-20,4.121488027274618e-16,0.9999493265874743,8.904369532527561e-11,5.101959116414979e-16,1.400828845223657e-14,5.47025454976886e-14,1.816864057538466e-12,9.507602650682136e-09,1.156281948695851e-19,1.984190612766782e-13,8.899928923584428e-27,7.197067827081861e-17,9.181724652556508e-13,2.611640837429158e-43,1.846522898762084e-41,4.804074590967636e-32,3.660803634759459e-44,3.400195499859489e-20,2.183695547977682e-36,1.130384105584676e-13,2.536237457115729e-48,1.718078745966906e-24,8.474008783180056e-24,2.373792549819883e-33,1.313060385834847e-31,2.373792549819878e-33,4.911973000029578e-39,3.656171688448632e-33,4.361154401419477e-30,1.880455561484746e-16,1.355461455355602e-35,8.177077103392055e-33,6.439145622418152e-25,3.561805363076476e-23,1.088820235847891e-09,3.717301583299456e-18,6.566439289260413e-26,3.375166432478747e-33,1.516238303523709e-23,7.58119151761859e-24,4.60405590280838e-20,5.306342415211586e-31,3.198326933197508e-07,-1.219944847973063e-09,1.000000007186644,11.2,1.928877613188718e-11,6.647589423369737e-12,1.231844001803317e-10,-1.311638557984862e-19,-1.080434658757437e-15,-6.768880735921127e-10,7.649618716243367e-11,-3.19860562597021e-15,-1.30958983429132e-28,-4.676186748999884e-13,0,-1.048813037566727e-18,2.431106438627354e-11,-0,-0,8.972824151506128e-10,-2.366956996024342e-17,3.137113552491408e-21,-6.424808555502404e-17,1.541954053320577e-16,-1.798946395540673e-16,-3.646702535597321e-11,1.176417582184278e-21,6.646895152002474e-17,0,-6.70504204338947e-24,-8.529027470836257e-20,1.360506131577961e-39,-6.643096345595514e-43,-4.024910854959887e-34,1.606973004221008e-43,6.93168158635168e-25,5.758024396174548e-34,2.687940655677119e-18,1.187878193663748e-49,-6.363361822668345e-24,-3.489823269064629e-23,2.006147921379598e-34,-5.034571221705389e-34,-1.560337272184132e-34,-1.488053581413395e-39,2.006147921379598e-34,-6.085315361518115e-33,-4.470423648490528e-19,2.008872334908083e-37,-7.132970387127461e-34,2.094249235862718e-26,-1.739517488308774e-26,-8.071302072777412e-09,-1.436056618877292e-25,-2.974722100984912e-25,-1.079903156866384e-31,1.033960765591651e-22,-6.739892397930759e-23,-1.896077108469872e-19,0,-0,
81.2,-1,0.1940981841985059,0.1712542173229395,0.05883749158138357,0.09284125136470402,1.31957455418151e-10,6.941113265954701e-15,4.34856071321465e-09,0.6770638200010326,3.217952219036355e-06,2.978771592233373e-24,5.034236231815168e-05,3.163292459645613e-11,7.791911219824703e-16,4.970876124306367e-10,2.192590629635441e-20,4.121488010081361e-16,0.9999493269902451,8.904369495382081e-11,5.101959095131641e-16,1.400828839379957e-14,5.470254526949139e-14,1.816864049959233e-12,9.5076026110202e-09,1.156281939048732e-19,1.98419060448953e-13,8.899928849330341e-27,7.197067766887488e-17,9.181724575951259e-13,1.646068000309196e-43,1.846522883356168e-41,4.804074531234091e-32,3.660803604216632e-44,3.400206173170058e-20,2.183695520825758e-36,1.130387653909572e-13,2.535403517127005e-48,1.082869160826865e-24,5.341008032471275e-24,2.372750289783715e-33,1.312483860996847e-31,2.372750289783711e-33,4.909816311451407e-39,3.654566374776011e-33,4.3592395513015e-30,1.879629918541126e-16,1.354866313501031e-35,8.176290741094469e-33,6.439145568695046e-25,3.561805333359609e-23,6.862606551179907e-10,3.717301552285251e-18,4.138702931048014e-26,2.12730379304976e-33,9.556533327470288e-24,4.778266663735174e-24,2.90183837500974e-20,3.344474605968682e-31,3.198326919855299e-07,-7.483062758185373e-10,1.000000004410385,11.2,1.173913466434584e-11,4.045747070691163e-12,7.556535952524257e-11,-8.059779572005505e-20,-6.632593365235207e-16,-4.155293710170307e-10,4.655581475887516e-11,-1.965485066368622e-15,-1.309017729188177e-28,-2.874670451564425e-13,0,3.161554570495634e-17,1.219171680615274e-11,0,0,5.508255045405882e-10,-4.039894130951274e-18,3.137113575966626e-21,-1.28496172071593e-16,2.312931097288674e-16,-8.99473204501151e-17,-1.828777621840901e-11,-3.921391969958282e-22,9.079571858114522e-17,4.786855432077982e-25,-4.115914990051471e-24,-5.097809560946008e-20,-1.360506141758714e-39,6.643096395306221e-43,2.849895147994854e-34,9.62194509717778e-43,6.932324119135407e-25,1.513963794281134e-34,2.687940628184213e-18,3.959594008509053e-50,-3.909541245107757e-24,-2.142334009042137e-23,0,-2.068559667591318e-34,0,2.976107185097187e-40,0,-5.884700613415739e-33,-4.468446658902908e-19,-1.28275534154805e-36,3.566485220251964e-34,-6.28274775460235e-26,6.750271739792375e-26,-4.954826817112979e-09,-3.590141574058486e-26,-1.826098866062854e-25,3.651883211205736e-31,-5.457015192568899e-23,-3.896500321711476e-23,-1.163967534817271e-19,-2.510805595057382e-30,-0,
